age,mus_female_2021,mus_male_2021,mus_female_perct_2021,mus_male_perct_2021,mus_female_2011,mus_male_2021,mus_female_perct_2011,mus_male_perct_2011,fermale_2021,male_2021,female_perct_2021,male_perct_2021,,
0,33180,34710,0.86,0.90,29927,31234,1.11,1.15,296690,310635,0.50,0.52,,
1,35585,36900,0.92,0.95,30991,32637,1.15,1.21,310355,325410,0.52,0.55,,
2,35785,36655,0.93,0.95,31756,32926,1.17,1.22,316680,333515,0.53,0.56,,
3,35630,36360,0.92,0.94,31994,33447,1.18,1.24,321870,336900,0.54,0.57,,
4,37365,39580,0.97,1.02,30793,32247,1.14,1.19,331750,348235,0.56,0.58,,
5,37190,39015,0.96,1.01,30843,31943,1.14,1.18,338005,355130,0.57,0.60,,
6,37125,38845,0.96,1.00,28727,29477,1.06,1.09,334245,350400,0.56,0.59,,
7,37505,38955,0.97,1.01,27567,28562,1.02,1.06,338615,354630,0.57,0.60,,
8,38180,40020,0.99,1.03,26864,28013,0.99,1.04,352045,370285,0.59,0.62,,
9,38510,39765,1.00,1.03,26021,27214,0.96,1.01,357530,373740,0.60,0.63,,
10,38095,39575,0.98,1.02,24990,26057,0.92,0.96,355845,375725,0.60,0.63,,
11,38285,40150,0.99,1.04,24417,25745,0.90,0.95,353605,370890,0.59,0.62,,
12,38360,39900,0.99,1.03,23673,25140,0.87,0.93,352515,369525,0.59,0.62,,
13,37325,39580,0.96,1.02,23377,25192,0.86,0.93,350385,369020,0.59,0.62,,
14,35705,37740,0.92,0.98,22733,24156,0.84,0.89,340785,357740,0.57,0.60,,
15,34335,37495,0.89,0.97,22301,24173,0.82,0.89,330260,348220,0.55,0.58,,
16,34770,37315,0.90,0.96,21384,23336,0.79,0.86,332160,352550,0.56,0.59,,
17,33210,36435,0.86,0.94,20805,23457,0.77,0.87,327900,348430,0.55,0.58,,
18,32220,35535,0.83,0.92,20417,23205,0.75,0.86,324820,342820,0.55,0.58,,
19,31190,34245,0.81,0.89,20279,23321,0.75,0.86,338085,349420,0.57,0.59,,
20,29730,32695,0.77,0.85,20545,25005,0.76,0.92,337665,348550,0.57,0.58,,
21,29265,31115,0.76,0.80,21318,25186,0.79,0.93,348440,357690,0.58,0.60,,
22,29095,30100,0.75,0.78,22677,24356,0.84,0.90,360865,364515,0.61,0.61,,
23,28685,29195,0.74,0.75,24384,24581,0.90,0.91,369050,366655,0.62,0.62,,
24,28975,27960,0.75,0.72,25086,24903,0.93,0.92,377315,371380,0.63,0.62,,
25,28980,27630,0.75,0.71,25979,27308,0.96,1.01,377635,370310,0.63,0.62,,
26,29140,27270,0.75,0.70,26474,28012,0.98,1.04,388625,375455,0.65,0.63,,
27,29845,26865,0.77,0.69,27177,27471,1.00,1.02,398735,381395,0.67,0.64,,
28,29100,27210,0.75,0.70,27254,28026,1.01,1.04,407375,386635,0.68,0.65,,
29,29215,27325,0.76,0.71,27795,28009,1.03,1.04,419490,396085,0.70,0.66,,
30,30510,28355,0.79,0.73,27728,29204,1.02,1.08,430750,407210,0.72,0.68,,
31,32875,29335,0.85,0.76,27488,29213,1.02,1.08,426800,400635,0.72,0.67,,
32,34395,30005,0.89,0.78,25575,28201,0.95,1.04,429540,400340,0.72,0.67,,
33,35850,29835,0.93,0.77,24070,27427,0.89,1.01,434310,404085,0.73,0.68,,
34,35825,30375,0.93,0.79,23650,27722,0.87,1.02,423780,391345,0.71,0.66,,
35,35630,31685,0.92,0.82,22280,26350,0.82,0.97,419545,394840,0.70,0.66,,
36,35305,32060,0.91,0.83,21622,25396,0.80,0.94,415400,389730,0.70,0.65,,
37,34720,31145,0.90,0.81,21250,25079,0.79,0.93,407130,383235,0.68,0.64,,
38,34385,32120,0.89,0.83,20249,23521,0.75,0.87,404240,381485,0.68,0.64,,
39,33330,31750,0.86,0.82,19312,22107,0.71,0.82,403080,382930,0.68,0.64,,
40,34035,32515,0.88,0.84,18946,21777,0.70,0.80,412995,390970,0.69,0.66,,
41,33310,33115,0.86,0.86,18223,21195,0.67,0.78,404725,386635,0.68,0.65,,
42,30370,31725,0.79,0.82,16421,19827,0.61,0.73,381525,367435,0.64,0.62,,
43,27875,30220,0.72,0.78,15095,17973,0.56,0.66,358555,346685,0.60,0.58,,
44,27250,30310,0.70,0.78,13541,16130,0.50,0.60,358400,347830,0.60,0.58,,
45,25385,29270,0.66,0.76,12818,14843,0.47,0.55,363400,353125,0.61,0.59,,
46,24585,27900,0.64,0.72,11718,13743,0.43,0.51,372380,362600,0.62,0.61,,
47,23475,27355,0.61,0.71,10560,12647,0.39,0.47,378625,368195,0.64,0.62,,
48,21755,25515,0.56,0.66,10285,12133,0.38,0.45,394780,384255,0.66,0.64,,
49,20650,24035,0.53,0.62,9737,11508,0.36,0.43,411560,399805,0.69,0.67,,
50,20305,23910,0.52,0.62,9788,11627,0.36,0.43,421750,406325,0.71,0.68,,
51,19550,23170,0.51,0.60,9591,11338,0.35,0.42,411750,399245,0.69,0.67,,
52,17395,21590,0.45,0.56,8899,10352,0.33,0.38,421890,407990,0.71,0.68,,
53,16185,19520,0.42,0.50,8649,9942,0.32,0.37,419420,404965,0.70,0.68,,
54,14085,17115,0.36,0.44,8316,9397,0.31,0.35,421060,409045,0.71,0.69,,
55,13310,15935,0.34,0.41,7957,8965,0.29,0.33,422145,406630,0.71,0.68,,
56,11855,14600,0.31,0.38,7675,8343,0.28,0.31,422020,407580,0.71,0.68,,
57,10415,13035,0.27,0.34,6975,7716,0.26,0.29,412770,397530,0.69,0.67,,
58,10400,12595,0.27,0.33,6858,7877,0.25,0.29,403495,389380,0.68,0.65,,
59,9780,11750,0.25,0.30,5904,6730,0.22,0.25,390330,377155,0.65,0.63,,
60,9630,11745,0.25,0.30,5779,5775,0.21,0.21,376350,367055,0.63,0.62,,
61,9635,11535,0.25,0.30,5496,5025,0.20,0.19,358615,348390,0.60,0.58,,
62,8640,10285,0.22,0.27,4783,4217,0.18,0.16,352335,340030,0.59,0.57,,
63,8420,9950,0.22,0.26,4493,3823,0.17,0.14,341390,330260,0.57,0.55,,
64,8270,9145,0.21,0.24,4067,3432,0.15,0.13,327325,313845,0.55,0.53,,
65,7885,8720,0.20,0.23,3811,3249,0.14,0.12,312635,299065,0.52,0.50,,
66,7600,7925,0.20,0.20,3582,3242,0.13,0.12,306710,289580,0.51,0.49,,
67,6860,7360,0.18,0.19,3360,3104,0.12,0.11,307055,289360,0.52,0.49,,
68,6930,7385,0.18,0.19,3325,3472,0.12,0.13,297970,278125,0.50,0.47,,
69,5925,6175,0.15,0.16,3207,3105,0.12,0.11,292590,272040,0.49,0.46,,
70,5715,5330,0.15,0.14,3434,3684,0.13,0.14,293580,270930,0.49,0.45,,
71,5315,4515,0.14,0.12,3603,3947,0.13,0.15,300620,274215,0.50,0.46,,
72,4605,3685,0.12,0.10,3132,3429,0.12,0.13,305160,278580,0.51,0.47,,
73,4425,3430,0.11,0.09,2906,3397,0.11,0.13,331215,300165,0.56,0.50,,
74,3845,2965,0.10,0.08,2796,3414,0.10,0.13,327900,295615,0.55,0.50,,
